instrument,month,class,side,boundary,strict,equal,rows
cl,2025-01,mbo_bid_cancel,corrected,decision_T,39581,2,801410
cl,2025-01,mbo_ask_cancel,corrected,decision_T,39559,6,801410
cl,2025-01,mbo_cancel_any,corrected,decision_T,46643,8,801410
cl,2025-01,trades_all,corrected,prev_row_B,232865,0,801410
cl,2025-01,trades_buy,corrected,prev_row_B,0,0,801410
cl,2025-01,trades_sell,corrected,prev_row_B,232865,0,801410
cl,2025-01,trades_large,corrected,prev_row_B,14268,0,801410
cl,2025-01,mbo_all,corrected,prev_row_B,534779,3204,801410
cl,2025-01,mbo_all_rows,corrected,prev_row_B,545832,3210,801410
cl,2025-01,mbo_bid_add,corrected,prev_row_B,421352,1805,801410
cl,2025-01,mbo_ask_add,corrected,prev_row_B,420221,1367,801410
cl,2025-01,mbo_bid_cancel,corrected,prev_row_B,415077,13,801410
cl,2025-01,mbo_ask_cancel,corrected,prev_row_B,415311,19,801410
cl,2025-01,mbo_cancel_any,corrected,prev_row_B,480191,32,801410
cl,2025-01,trades_all,contaminated,decision_T,232865,0,801411
cl,2025-01,trades_buy,contaminated,decision_T,0,0,801411
cl,2025-01,trades_sell,contaminated,decision_T,232865,0,801411
cl,2025-01,trades_large,contaminated,decision_T,14268,0,801411
cl,2025-01,mbo_all,contaminated,decision_T,534779,3205,801411
cl,2025-01,mbo_all_rows,contaminated,decision_T,545832,3211,801411
cl,2025-01,mbo_bid_add,contaminated,decision_T,421352,1806,801411
cl,2025-01,mbo_ask_add,contaminated,decision_T,420221,1367,801411
cl,2025-01,mbo_bid_cancel,contaminated,decision_T,415077,13,801411
cl,2025-01,mbo_ask_cancel,contaminated,decision_T,415311,19,801411
cl,2025-01,mbo_cancel_any,contaminated,decision_T,480191,32,801411
cl,2025-08,trades_all,corrected,decision_T,9048,0,664076
cl,2025-08,trades_buy,corrected,decision_T,0,0,664076
cl,2025-08,trades_sell,corrected,decision_T,9048,0,664076
cl,2025-08,trades_large,corrected,decision_T,771,0,664076
cl,2025-08,mbo_all,corrected,decision_T,27852,1427,664076
cl,2025-08,mbo_bid_add,corrected,decision_T,18374,603,664076
cl,2025-08,mbo_ask_add,corrected,decision_T,18586,812,664076
cl,2025-08,mbo_bid_cancel,corrected,decision_T,17902,3,664076
cl,2025-08,mbo_ask_cancel,corrected,decision_T,17988,6,664076
cl,2025-08,mbo_cancel_any,corrected,decision_T,22428,9,664076
cl,2025-08,trades_all,corrected,prev_row_B,142974,0,664076
cl,2025-08,trades_buy,corrected,prev_row_B,0,0,664076
cl,2025-08,trades_sell,corrected,prev_row_B,142974,0,664076
cl,2025-08,trades_large,corrected,prev_row_B,9919,0,664076
cl,2025-08,mbo_all,corrected,prev_row_B,406797,2468,664076
cl,2025-08,mbo_bid_add,corrected,prev_row_B,283878,1105,664076
cl,2025-08,mbo_ask_add,corrected,prev_row_B,284551,1347,664076
cl,2025-08,mbo_bid_cancel,corrected,prev_row_B,278277,5,664076
cl,2025-08,mbo_ask_cancel,corrected,prev_row_B,278073,9,664076
cl,2025-08,mbo_cancel_any,corrected,prev_row_B,339211,14,664076
cl,2025-08,trades_all,contaminated,decision_T,142974,0,664077
cl,2025-08,trades_buy,contaminated,decision_T,0,0,664077
cl,2025-08,trades_sell,contaminated,decision_T,142974,0,664077
cl,2025-08,trades_large,contaminated,decision_T,9919,0,664077
cl,2025-08,mbo_all,contaminated,decision_T,406797,2469,664077
cl,2025-08,mbo_bid_add,contaminated,decision_T,283878,1105,664077
cl,2025-08,mbo_ask_add,contaminated,decision_T,284551,1347,664077
cl,2025-08,mbo_bid_cancel,contaminated,decision_T,278277,5,664077
cl,2025-08,mbo_ask_cancel,contaminated,decision_T,278073,9,664077
cl,2025-08,mbo_cancel_any,contaminated,decision_T,339211,14,664077
gc,2025-01,trades_all,corrected,decision_T,13907,3,761736
gc,2025-01,trades_buy,corrected,decision_T,0,0,761736
gc,2025-01,trades_sell,corrected,decision_T,13907,3,761736
gc,2025-01,trades_large,corrected,decision_T,267,0,761736
gc,2025-01,mbo_all,corrected,decision_T,37065,1853,761736
gc,2025-01,mbo_bid_add,corrected,decision_T,26290,1068,761736
gc,2025-01,mbo_ask_add,corrected,decision_T,25919,767,761736
gc,2025-01,mbo_bid_cancel,corrected,decision_T,25095,10,761736
gc,2025-01,mbo_ask_cancel,corrected,decision_T,24993,5,761736
gc,2025-01,mbo_cancel_any,corrected,decision_T,30403,15,761736
gc,2025-01,trades_all,corrected,prev_row_B,210374,35,761736
gc,2025-01,trades_buy,corrected,prev_row_B,0,0,761736
gc,2025-01,trades_sell,corrected,prev_row_B,210374,35,761736
gc,2025-01,trades_large,corrected,prev_row_B,3280,1,761736
gc,2025-01,mbo_all,corrected,prev_row_B,523228,2712,761736
gc,2025-01,mbo_bid_add,corrected,prev_row_B,384039,1490,761736
gc,2025-01,mbo_ask_add,corrected,prev_row_B,380700,1136,761736
gc,2025-01,mbo_bid_cancel,corrected,prev_row_B,376465,26,761736
gc,2025-01,mbo_ask_cancel,corrected,prev_row_B,375572,24,761736
gc,2025-01,mbo_cancel_any,corrected,prev_row_B,448387,50,761736
gc,2025-01,trades_all,contaminated,decision_T,210374,35,761737
gc,2025-01,trades_buy,contaminated,decision_T,0,0,761737
gc,2025-01,trades_sell,contaminated,decision_T,210374,35,761737
gc,2025-01,trades_large,contaminated,decision_T,3280,1,761737
gc,2025-01,mbo_all,contaminated,decision_T,523228,2713,761737
gc,2025-01,mbo_bid_add,contaminated,decision_T,384039,1490,761737
gc,2025-01,mbo_ask_add,contaminated,decision_T,380700,1137,761737
gc,2025-01,mbo_bid_cancel,contaminated,decision_T,376465,26,761737
gc,2025-01,mbo_ask_cancel,contaminated,decision_T,375572,24,761737
gc,2025-01,mbo_cancel_any,contaminated,decision_T,448387,50,761737
gc,2025-08,trades_all,corrected,decision_T,16051,0,692041
gc,2025-08,trades_buy,corrected,decision_T,0,0,692041
gc,2025-08,trades_sell,corrected,decision_T,16051,0,692041
gc,2025-08,trades_large,corrected,decision_T,232,0,692041
gc,2025-08,mbo_all,corrected,decision_T,42886,1907,692041
gc,2025-08,mbo_bid_add,corrected,decision_T,29001,949,692041
gc,2025-08,mbo_ask_add,corrected,decision_T,28636,947,692041
gc,2025-08,mbo_bid_cancel,corrected,decision_T,28194,6,692041
gc,2025-08,mbo_ask_cancel,corrected,decision_T,28457,3,692041
gc,2025-08,mbo_cancel_any,corrected,decision_T,35509,9,692041
gc,2025-08,trades_all,corrected,prev_row_B,204014,0,692041
gc,2025-08,trades_buy,corrected,prev_row_B,0,0,692041
gc,2025-08,trades_sell,corrected,prev_row_B,204014,0,692041
gc,2025-08,trades_large,corrected,prev_row_B,3064,0,692041
gc,2025-08,mbo_all,corrected,prev_row_B,461530,2864,692041
gc,2025-08,mbo_bid_add,corrected,prev_row_B,342764,1427,692041
gc,2025-08,mbo_ask_add,corrected,prev_row_B,335400,1426,692041
gc,2025-08,mbo_bid_cancel,corrected,prev_row_B,338915,7,692041
gc,2025-08,mbo_ask_cancel,corrected,prev_row_B,337334,3,692041
gc,2025-08,mbo_cancel_any,corrected,prev_row_B,402064,10,692041
gc,2025-08,trades_all,contaminated,decision_T,204014,0,692042
gc,2025-08,trades_buy,contaminated,decision_T,0,0,692042
gc,2025-08,trades_sell,contaminated,decision_T,204014,0,692042
