instrument,month,class,side,boundary,strict,equal,rows
le,2025-01,mbo_ask_add,contaminated,decision_T,93626,0,337494
le,2025-01,mbo_bid_cancel,contaminated,decision_T,91114,1,337494
le,2025-01,mbo_ask_cancel,contaminated,decision_T,91240,1,337494
le,2025-01,mbo_cancel_any,contaminated,decision_T,117036,2,337494
le,2025-08,trades_all,corrected,decision_T,0,0,308710
le,2025-08,trades_buy,corrected,decision_T,0,0,308710
le,2025-08,trades_sell,corrected,decision_T,0,0,308710
le,2025-08,trades_large,corrected,decision_T,0,0,308710
le,2025-08,mbo_all,corrected,decision_T,0,13,308710
le,2025-08,mbo_bid_add,corrected,decision_T,0,1,308710
le,2025-08,mbo_ask_add,corrected,decision_T,0,4,308710
le,2025-08,mbo_bid_cancel,corrected,decision_T,0,3,308710
le,2025-08,mbo_ask_cancel,corrected,decision_T,0,4,308710
le,2025-08,mbo_cancel_any,corrected,decision_T,0,7,308710
le,2025-08,trades_all,corrected,prev_row_B,43707,1,308710
le,2025-08,trades_buy,corrected,prev_row_B,0,0,308710
le,2025-08,trades_sell,corrected,prev_row_B,43707,1,308710
le,2025-08,trades_large,corrected,prev_row_B,969,0,308710
le,2025-08,mbo_all,corrected,prev_row_B,119867,20,308710
le,2025-08,mbo_bid_add,corrected,prev_row_B,74252,2,308710
le,2025-08,mbo_ask_add,corrected,prev_row_B,75663,7,308710
le,2025-08,mbo_bid_cancel,corrected,prev_row_B,72634,3,308710
le,2025-08,mbo_ask_cancel,corrected,prev_row_B,73501,7,308710
le,2025-08,mbo_cancel_any,corrected,prev_row_B,93525,10,308710
le,2025-08,trades_all,contaminated,decision_T,43707,1,308711
le,2025-08,trades_buy,contaminated,decision_T,0,0,308711
le,2025-08,trades_sell,contaminated,decision_T,43707,1,308711
le,2025-08,trades_large,contaminated,decision_T,969,0,308711
le,2025-08,mbo_all,contaminated,decision_T,119867,21,308711
le,2025-08,mbo_bid_add,contaminated,decision_T,74252,2,308711
le,2025-08,mbo_ask_add,contaminated,decision_T,75663,7,308711
le,2025-08,mbo_bid_cancel,contaminated,decision_T,72634,4,308711
le,2025-08,mbo_ask_cancel,contaminated,decision_T,73501,7,308711
le,2025-08,mbo_cancel_any,contaminated,decision_T,93525,11,308711
