side,instrument,model,horizon,file,n_rows,n_nan_pred,n_nan_label,n_used,recomputed_auc,n_zero_tick,n_nan_fwd,n_label_pos,n_label_eq_signpos
pre,ZC,LightGBM,10s,zc_LightGBM_10s_predictions.parquet,655016,0,0,655016,0.9399684652,0,0,329369,655016
pre,ZC,LightGBM,30s,zc_LightGBM_30s_predictions.parquet,745656,0,0,745656,0.8564194096,0,0,373718,745656
pre,ZC,LightGBM,5s,zc_LightGBM_5s_predictions.parquet,1047430,0,0,1047430,0.9662437484,0,0,522896,1047430
pre,ZC,LightGBM,60s,zc_LightGBM_60s_predictions.parquet,890687,0,0,890687,0.7552441575,0,0,447195,890687
pre,ZC,XGBoost,10s,zc_XGBoost_10s_predictions.parquet,655016,0,0,655016,0.9406199014,0,0,329369,655016
pre,ZC,XGBoost,30s,zc_XGBoost_30s_predictions.parquet,745656,0,0,745656,0.8567950086,0,0,373718,745656
pre,ZC,XGBoost,5s,zc_XGBoost_5s_predictions.parquet,1047430,0,0,1047430,0.9658659971,0,0,522896,1047430
pre,ZC,XGBoost,60s,zc_XGBoost_60s_predictions.parquet,890687,0,0,890687,0.7556556391,0,0,447195,890687
pre,ZS,LightGBM,10s,zs_LightGBM_10s_predictions.parquet,699991,0,0,699991,0.8237303282,0,0,348636,699991
pre,ZS,LightGBM,30s,zs_LightGBM_30s_predictions.parquet,1018858,0,0,1018858,0.7038366281,0,0,508416,1018858
pre,ZS,LightGBM,5s,zs_LightGBM_5s_predictions.parquet,885602,0,0,885602,0.9527281113,0,0,442763,885602
pre,ZS,LightGBM,60s,zs_LightGBM_60s_predictions.parquet,1256335,0,0,1256335,0.6507066853,0,0,627180,1256335
pre,ZS,XGBoost,10s,zs_XGBoost_10s_predictions.parquet,699991,0,0,699991,0.8254121777,0,0,348636,699991
pre,ZS,XGBoost,30s,zs_XGBoost_30s_predictions.parquet,1018858,0,0,1018858,0.7007420436,0,0,508416,1018858
pre,ZS,XGBoost,5s,zs_XGBoost_5s_predictions.parquet,885602,0,0,885602,0.9525330468,0,0,442763,885602
