bucket,rows,trades_viol,mbo_viol,n_integral,cf_trades_viol,cf_mbo_viol,trades_rate,cf_trades_rate,mbo_rate,cf_mbo_rate
"(0,1]ms",16201,2,26,0,4049,11462,0.000123,0.249923,0.001605,0.707487
"(1,10]",0,0,0,0,0,0,,,,
"(10,100]",2,0,0,0,0,1,0.0,0.0,0.0,0.5
"(100,250]",27,0,0,0,0,2,0.0,0.0,0.0,0.074074
"(250,500]",39,0,0,0,0,4,0.0,0.0,0.0,0.102564
"(500,750]",306,0,12,0,0,18,0.0,0.0,0.039216,0.058824
"(750,999]",200,0,11,0,0,13,0.0,0.0,0.055,0.065
"(999,1000]ms = integral stamps",321384,89566,254266,321384,89566,254266,0.278688,0.278688,0.791159,0.791159
