offset_ms,rows,tr_viol,cf_tr_viol,mb_viol,cf_mb_viol,first_day,last_day,mb_rate,cf_mb_rate
148.016087,200,0,0,11,13,2025-01-09,2025-01-09,0.055,0.065
311.732461,211,0,0,10,11,2025-01-09,2025-01-09,0.047393,0.052133
416.949035,95,0,0,2,7,2025-01-09,2025-01-09,0.021053,0.073684
528.403883,37,0,0,0,3,2025-01-09,2025-01-09,0.0,0.081081
572.531049,2,0,0,0,1,2025-01-09,2025-01-09,0.0,0.5
786.915881,27,0,0,0,2,2025-01-09,2025-01-09,0.0,0.074074
947.152623,2,0,0,0,1,2025-01-09,2025-01-09,0.0,0.5
999.682923,16201,2,4049,26,11462,2025-01-07,2025-01-07,0.001605,0.707487
