instrument,model,horizon,kind,row_index,timestamp,pre_label,post_label,class
gc,LightGBM,5,only_post,547920,2025-10-15T19:54:47.890003513,,0,boundary
gc,LightGBM,5,only_post,580248,2025-10-20T18:25:21.045288267,,0,boundary
gc,LightGBM,5,only_post,610120,2025-10-22T20:41:07.222177379,,1,boundary
gc,LightGBM,5,only_post,640738,2025-10-27T18:05:29.146237249,,0,boundary
gc,LightGBM,5,only_post,667644,2025-10-30T13:31:49.677553129,,1,interior
gc,LightGBM,5,only_post,703077,2025-11-05T17:10:33.379776509,,1,boundary
gc,LightGBM,5,only_post,736847,2025-11-10T13:51:44.348728625,,0,boundary
gc,LightGBM,5,only_post,767722,2025-11-12T16:34:59.646957411,,1,boundary
gc,LightGBM,5,only_post,831430,2025-11-19T15:51:46.000000000,,0,boundary
gc,LightGBM,5,only_post,867468,2025-11-24T13:35:29.753373615,,1,boundary
gc,LightGBM,5,only_post,919591,2025-12-03T16:52:13.196461565,,0,boundary
gc,LightGBM,5,only_post,986827,2025-12-10T17:02:41.815472009,,0,boundary
gc,LightGBM,5,only_post,1019576,2025-12-12T20:39:33.014646257,,1,boundary
gc,LightGBM,5,only_post,1049207,2025-12-17T14:25:11.690198079,,0,boundary
gc,LightGBM,5,only_post,1083244,2025-12-19T19:14:07.227975955,,1,boundary
gc,LightGBM,5,only_post,1149773,2025-12-29T21:09:49.596165539,,1,boundary
gc,LightGBM,10,only_pre,0,2025-08-01T13:00:00.407995871,0,,boundary
gc,LightGBM,10,only_pre,1683,2025-08-04T18:53:41.643047429,1,,boundary
gc,LightGBM,10,only_pre,53193,2025-08-12T14:35:08.964227893,1,,boundary
gc,LightGBM,10,only_pre,125287,2025-08-22T13:38:02.000000000,1,,boundary
gc,LightGBM,10,only_pre,149206,2025-08-25T13:31:46.088506459,0,,interior
gc,LightGBM,10,only_pre,151016,2025-08-26T19:15:24.000000000,0,,boundary
gc,LightGBM,10,only_pre,174337,2025-08-29T15:19:56.122937113,1,,boundary
gc,LightGBM,10,only_pre,191854,2025-09-01T13:00:00.256114953,0,,boundary
gc,LightGBM,10,only_pre,191859,2025-09-02T20:31:59.393128243,0,,boundary
gc,LightGBM,10,only_pre,214473,2025-09-05T16:37:37.047058913,0,,boundary
gc,LightGBM,10,only_pre,270224,2025-09-12T20:54:21.820982659,1,,boundary
gc,LightGBM,10,only_pre,317920,2025-09-18T15:05:07.793936649,1,,interior
gc,LightGBM,10,only_pre,318440,2025-09-22T13:34:15.286173371,0,,boundary
gc,LightGBM,10,only_pre,342948,2025-09-24T18:17:48.945301191,0,,boundary
gc,LightGBM,10,only_pre,369705,2025-09-29T16:12:06.067410145,1,,boundary
gc,LightGBM,10,only_pre,398215,2025-10-01T13:00:00.416874999,1,,boundary
gc,LightGBM,10,only_pre,401156,2025-10-02T18:46:46.332223451,1,,boundary
gc,LightGBM,10,only_pre,429778,2025-10-07T16:19:15.032384765,1,,boundary
gc,LightGBM,10,only_pre,458326,2025-10-10T13:54:39.000000000,1,,boundary
gc,LightGBM,10,only_pre,485467,2025-10-13T13:38:09.205204823,0,,interior
gc,LightGBM,10,only_pre,486248,2025-10-14T19:38:21.479286837,1,,boundary
gc,LightGBM,10,only_pre,515843,2025-10-17T17:48:34.266647301,1,,boundary
gc,LightGBM,10,only_pre,546609,2025-10-22T13:41:20.583366001,1,,boundary
gc,LightGBM,10,only_pre,573242,2025-10-24T18:35:46.000000000,1,,boundary
gc,LightGBM,10,only_pre,601382,2025-10-29T14:43:13.242935715,1,,boundary
gc,LightGBM,10,only_pre,626385,2025-10-30T13:31:54.677553129,1,,interior
gc,LightGBM,10,only_pre,627269,2025-10-31T20:10:25.805899605,1,,boundary
gc,LightGBM,10,only_pre,629897,2025-11-04T17:33:07.000000000,0,,boundary
gc,LightGBM,10,only_pre,660520,2025-11-06T21:14:08.820196825,0,,boundary
gc,LightGBM,10,only_pre,696099,2025-11-11T17:07:42.577462269,0,,boundary
gc,LightGBM,10,only_pre,725110,2025-11-13T20:24:01.992227093,0,,boundary
gc,LightGBM,10,only_pre,759180,2025-11-18T16:20:44.000000000,0,,boundary
gc,LightGBM,10,only_pre,825351,2025-11-25T18:09:36.971476095,0,,boundary
gc,LightGBM,10,only_pre,847327,2025-11-28T18:33:11.239501017,0,,boundary
gc,LightGBM,10,only_pre,850363,2025-12-02T17:37:26.335659179,0,,boundary
gc,LightGBM,10,only_pre,879937,2025-12-04T20:22:41.368322585,1,,boundary
gc,LightGBM,10,only_pre,914310,2025-12-09T16:17:09.972990023,0,,boundary
gc,LightGBM,10,only_pre,947370,2025-12-11T20:26:59.743400297,1,,boundary
gc,LightGBM,10,only_pre,978985,2025-12-16T15:17:39.092966079,1,,boundary
gc,LightGBM,10,only_pre,1007266,2025-12-18T18:33:27.069700673,1,,boundary
gc,LightGBM,10,only_pre,1039806,2025-12-23T13:58:49.545552863,0,,boundary
gc,LightGBM,10,only_pre,1072204,2025-12-26T21:33:55.768526025,1,,boundary
gc,LightGBM,10,only_pre,1104393,2025-12-31T16:48:40.827704005,1,,boundary
gc,LightGBM,10,only_post,1682,2025-08-01T13:29:15.407995871,,1,boundary
gc,LightGBM,10,only_post,24199,2025-08-05T17:58:22.654299487,,1,boundary
gc,LightGBM,10,only_post,53193,2025-08-08T17:34:46.509911973,,1,boundary
gc,LightGBM,10,only_post,80535,2025-08-13T15:10:14.000000000,,1,boundary
gc,LightGBM,10,only_post,104446,2025-08-17T21:19:05.725113995,,1,boundary
gc,LightGBM,10,only_post,125289,2025-08-20T16:06:55.000000000,,0,boundary
gc,LightGBM,10,only_post,149208,2025-08-25T13:31:41.088506459,,0,interior
gc,LightGBM,10,only_post,151018,2025-08-25T14:02:03.088506459,,1,boundary
gc,LightGBM,10,only_post,174339,2025-08-27T18:31:44.000000000,,0,boundary
gc,LightGBM,10,only_post,191860,2025-09-01T13:00:03.580780791,,0,boundary
gc,LightGBM,10,only_post,214474,2025-09-03T19:05:24.247841963,,0,boundary
gc,LightGBM,10,only_post,244696,2025-09-08T17:23:31.267878461,,0,boundary
gc,LightGBM,10,only_post,295982,2025-09-15T20:10:02.720847279,,1,boundary
gc,LightGBM,10,only_post,317922,2025-09-18T15:05:02.793936649,,0,interior
gc,LightGBM,10,only_post,318442,2025-09-18T15:13:57.793936649,,1,boundary
gc,LightGBM,10,only_post,342950,2025-09-23T13:01:38.948514245,,0,boundary
gc,LightGBM,10,only_post,369707,2025-09-25T18:08:35.000000000,,0,boundary
gc,LightGBM,10,only_post,401157,2025-10-01T13:49:06.416874999,,0,boundary
gc,LightGBM,10,only_post,429779,2025-10-03T19:34:16.861275435,,1,boundary
gc,LightGBM,10,only_post,458327,2025-10-08T16:43:43.415525257,,0,boundary
gc,LightGBM,10,only_post,485468,2025-10-13T13:38:04.205204823,,0,interior
gc,LightGBM,10,only_post,486249,2025-10-13T13:51:21.205204823,,1,boundary
gc,LightGBM,10,only_post,515844,2025-10-15T19:54:47.890003513,,0,boundary
gc,LightGBM,10,only_post,546610,2025-10-20T18:25:21.045288267,,0,boundary
gc,LightGBM,10,only_post,573243,2025-10-22T20:41:07.222177379,,1,boundary
gc,LightGBM,10,only_post,601383,2025-10-27T18:05:29.146237249,,1,boundary
gc,LightGBM,10,only_post,626386,2025-10-30T13:31:49.677553129,,1,interior
