month,date,in_lattice,lattice_rows,lattice_min,lattice_max,v4_day_file_present,v4_events_in_window,v4_mbo_all_in_window,v4_min,v4_max,v3_events_in_window,v3_mbo_all_in_window,v3_min,v3_max
2025-01,2025-01-31,true,28801,2025-01-31 14:00:00.000011289,2025-01-31 21:59:59.924994381,true,14768482,12677054,2025-01-31 14:00:00.000569655,2025-01-31 21:59:59.924994381,14733502,12677054,2025-01-31 14:00:00.000569655,2025-01-31 21:59:59.924994381
2025-08,2025-07-27,true,2,2025-07-27 21:45:02.423366679,2025-07-27 21:45:02.423366679,false,,,,,1,1,2025-07-27 21:45:02.423366679,2025-07-27 21:45:02.423366679
2025-08,2025-07-28,true,8,2025-07-28 14:13:39.522794547,2025-07-28 16:26:43.032555743,false,,,,,4,4,2025-07-28 14:13:39.522794547,2025-07-28 16:26:42.032555743
2025-08,2025-07-29,true,4,2025-07-29 15:12:00.663749303,2025-07-29 15:16:05.968330025,false,,,,,2,2,2025-07-29 15:12:00.663749303,2025-07-29 15:16:05.968330025
2025-08,2025-07-30,true,193,2025-07-30 16:06:32.228689037,2025-07-30 20:53:05.379689853,false,,,,,44,44,2025-07-30 16:06:32.228689037,2025-07-30 20:53:04.379689853
2025-08,2025-07-31,true,3769,2025-07-31 14:05:36.909372443,2025-07-31 21:59:59.861478049,false,,,,,499,499,2025-07-31 14:05:36.909372443,2025-07-31 21:59:26.922599699
2025-08,2025-08-01,true,25201,2025-08-01 14:00:00.020817297,2025-08-01 20:59:59.990490253,true,15494551,12147261,2025-08-01 14:00:00.000004361,2025-08-01 21:00:00.068025423,15468072,12146247,2025-08-01 14:00:00.000004361,2025-08-01 20:59:59.990490253
2025-08,2025-08-03,true,870,2025-08-03 14:15:20.687935505,2025-08-03 21:59:59.801150795,false,,,,,2591,2586,2025-08-03 14:15:19.687935505,2025-08-03 21:59:39.287462321
2025-08,2025-08-04,true,25549,2025-08-04 14:00:00.004166997,2025-08-04 21:59:59.916463757,true,5915216,4635223,2025-08-04 14:00:00.005882833,2025-08-04 21:59:59.995054625,5901255,4632730,2025-08-04 14:00:00.005882833,2025-08-04 21:59:58.760978755
2025-08,2025-08-05,true,25533,2025-08-05 14:00:00.002500257,2025-08-05 21:59:59.253800393,true,10636756,8494395,2025-08-05 14:00:00.000004243,2025-08-05 21:59:59.995052055,10615959,8493014,2025-08-05 14:00:00.000004243,2025-08-05 21:59:58.764204723
2025-08,2025-08-06,true,25666,2025-08-06 14:00:00.007135423,2025-08-06 21:59:59.031844641,true,7939350,6304024,2025-08-06 14:00:00.000075365,2025-08-06 21:59:59.995053565,7923810,6303087,2025-08-06 14:00:00.000075365,2025-08-06 21:59:58.483229171
2025-08,2025-08-07,true,25492,2025-08-07 14:00:00.000847487,2025-08-07 21:59:59.603910437,true,11239322,8949706,2025-08-07 14:00:00.001082533,2025-08-07 21:59:59.978808217,11218128,8948770,2025-08-07 14:00:00.001082533,2025-08-07 21:59:58.283910673
2025-08,2025-08-08,true,25201,2025-08-08 14:00:00.007910331,2025-08-08 20:59:59.989364483,true,6999652,5632996,2025-08-08 14:00:00.000121837,2025-08-08 21:00:00.068021075,6989061,5632001,2025-08-08 14:00:00.000121837,2025-08-08 20:59:59.989364483
2025-08,2025-08-10,true,549,2025-08-10 21:00:30.003780813,2025-08-10 21:59:59.994632937,false,,,,,256,256,2025-08-10 21:00:30.003780813,2025-08-10 21:59:59.999832007
2025-08,2025-08-11,true,25369,2025-08-11 14:00:00.030972967,2025-08-11 21:59:59.759840781,true,6848698,5484311,2025-08-11 14:00:00.000069865,2025-08-11 21:59:59.978647683,6838482,5483291,2025-08-11 14:00:00.000069865,2025-08-11 21:59:59.840294775
2025-08,2025-08-12,true,25708,2025-08-12 14:00:00.005621757,2025-08-12 21:59:59.016139233,true,6602760,5256938,2025-08-12 14:00:00.000088555,2025-08-12 21:59:59.980035105,6591873,5255882,2025-08-12 14:00:00.000088555,2025-08-12 21:59:58.544269723
2025-08,2025-08-13,true,25468,2025-08-13 14:00:00.003959923,2025-08-13 21:59:59.269593033,true,7836033,6284488,2025-08-13 14:00:00.000002783,2025-08-13 21:59:59.900763109,7824482,6283378,2025-08-13 14:00:00.000002783,2025-08-13 21:59:34.084235129
2025-08,2025-08-14,true,25495,2025-08-14 14:00:00.026727259,2025-08-14 21:59:59.345595229,true,8404999,6722510,2025-08-14 14:00:00.000125481,2025-08-14 21:59:59.995052453,8392265,6721379,2025-08-14 14:00:00.000125481,2025-08-14 21:59:49.273838935
2025-08,2025-08-15,true,25201,2025-08-15 14:00:00.022765123,2025-08-15 20:59:59.908428591,true,7488387,6011361,2025-08-15 14:00:00.007816971,2025-08-15 21:00:00.068019015,7474097,6010334,2025-08-15 14:00:00.007816971,2025-08-15 20:59:59.908428591
2025-08,2025-08-17,true,391,2025-08-17 21:00:00.507681665,2025-08-17 21:59:59.008457679,false,,,,,126,126,2025-08-17 21:00:00.507681665,2025-08-17 21:59:55.052251923
2025-08,2025-08-18,true,25461,2025-08-18 14:00:00.007296553,2025-08-18 21:59:59.025517107,true,6043953,4866913,2025-08-18 14:00:00.000105087,2025-08-18 21:59:59.995082661,6034437,4865892,2025-08-18 14:00:00.000105087,2025-08-18 21:59:58.084793143
2025-08,2025-08-19,true,25427,2025-08-19 14:00:00.037523187,2025-08-19 21:59:59.544766543,true,9173383,7232523,2025-08-19 14:00:00.000063469,2025-08-19 21:59:59.979349571,9158331,7231527,2025-08-19 14:00:00.000063469,2025-08-19 21:59:58.230674783
2025-08,2025-08-20,true,25580,2025-08-20 14:00:00.001955837,2025-08-20 21:59:59.673639053,true,12110266,9514289,2025-08-20 14:00:00.000081145,2025-08-20 21:59:59.995087027,12084935,9513181,2025-08-20 14:00:00.000081145,2025-08-20 21:59:48.774069211
2025-08,2025-08-21,true,25504,2025-08-21 14:00:00.001011363,2025-08-21 21:59:59.288110345,true,9785679,7881280,2025-08-21 14:00:00.002025969,2025-08-21 21:59:59.979949405,9768735,7879955,2025-08-21 14:00:00.002025969,2025-08-21 21:59:51.563776323
2025-08,2025-08-22,true,25201,2025-08-22 14:00:00.000968119,2025-08-22 20:59:59.908669759,true,9597016,7873422,2025-08-22 14:00:00.000051389,2025-08-22 21:00:00.068008385,9573667,7872242,2025-08-22 14:00:00.000051389,2025-08-22 20:59:59.908669759
2025-08,2025-08-24,true,341,2025-08-24 21:00:00.141634583,2025-08-24 21:59:59.565393311,false,,,,,140,140,2025-08-24 21:00:00.141634583,2025-08-24 21:59:59.999531941
2025-08,2025-08-25,true,25449,2025-08-25 14:00:00.010470911,2025-08-25 21:59:59.907209391,true,6357980,5100009,2025-08-25 14:00:00.005858695,2025-08-25 21:59:59.982310177,6348621,5098778,2025-08-25 14:00:00.005858695,2025-08-25 21:59:56.395574041
2025-08,2025-08-26,true,25454,2025-08-26 14:00:00.001933031,2025-08-26 21:59:59.747103439,true,6537266,5299131,2025-08-26 14:00:00.006610663,2025-08-26 21:59:59.995117109,6527731,5297958,2025-08-26 14:00:00.006610663,2025-08-26 21:59:59.890028421
2025-08,2025-08-27,true,25570,2025-08-27 14:00:00.002978329,2025-08-27 21:59:59.701072827,true,6306489,5107286,2025-08-27 14:00:00.000087129,2025-08-27 21:59:59.960214821,6292869,5106078,2025-08-27 14:00:00.000087129,2025-08-27 21:59:32.606843357
2025-08,2025-08-28,true,25674,2025-08-28 14:00:00.023844373,2025-08-28 21:59:59.331475639,true,6531178,5181780,2025-08-28 14:00:00.002146515,2025-08-28 21:59:59.995069821,6518005,5180522,2025-08-28 14:00:00.002146515,2025-08-28 21:59:58.072992867
2025-08,2025-08-29,true,25201,2025-08-29 14:00:00.007780661,2025-08-29 20:59:59.911709147,true,8348741,6597654,2025-08-29 14:00:00.001086121,2025-08-29 21:00:00.068025619,8329021,6596236,2025-08-29 14:00:00.001086121,2025-08-29 20:59:59.911709147
